,Date,Text
40,9/14/2019 22:17,"RT @DeadarticGames: Gears Forever - Gears 5 Launch Trailer
https://t.co/SNTivo4x6A #Gears5 #GearsOfWar #Coalition #GamePassUltimate #GamePa…"
41,9/14/2019 22:17,"RT @AlexMilla_: #RockPiX es el #miniPC tipo #RaspberryPi en el que podrás usar #Microsoft #Windows10, y cuesta 39 dólares https://t.co/wksT…"
42,9/14/2019 22:17,"RT @DeadarticGames: Xbox - September 2019 Games with Gold
https://t.co/6fYs5yy7xz #GamesWithGold #XboxLive #XboxOneX #XboxOne #Xbox #Micros…"
43,9/14/2019 22:17,"RT @DeadarticGames: Feel the Thrills with Blair Witch, Control and The Walking Dead
https://t.co/4QlYQOMNOz #ThisWeekOnXbox #XboxOneX #Xbox…"
44,9/14/2019 22:17,"RT @DeadarticGames: Gears 5 - Launch Maps Trailer
https://t.co/x15P1JaFEY #Gears5 #GearsOfWar #Coalition #XboxGamePass #XboxOneX #XboxOne #…"
45,9/14/2019 22:17,"RT @DeadarticGames: Upgrade and Save with Xbox Game Pass Ultimate!
https://t.co/eU90SANzeL #XboxGamePass #XboxLive #XboxOneX #XboxOne #Xbox…"
46,9/14/2019 22:16,RT @thevrara: Join us online during our #Webinar on Innovation in VR &amp;amp; AR in AEC with #Microsoft #Unity #Samsung @IrisVR_Inc and @VIATe…
47,9/14/2019 22:16,"RT @DeadarticGames: Every Xbox One Controller Ever Made
https://t.co/Rew3oon6Ix #XboxOneController #XboxOneX #XboxOne #Xbox #Microsoft #dea…"
48,9/14/2019 22:16,"RT @DeadarticGames: Gears 5 - Horde Explained
https://t.co/hAynabV23H #Gears5 #GearsOfWar #Horde #Coalition #XboxOneX #XboxOne #Xbox #Micro…"
49,9/14/2019 22:15,"RT @DeadarticGames: Gears 5 - Campaign Story Trailer
https://t.co/pRuyg7Uj5A #Gears5 #GearsOfWar #TheCoalition #Gamescom2019 #Gamescom #Xbo…"
50,9/14/2019 22:15,"RT @DeadarticGames: Inside Xbox - Live @ gamescom 2019
https://t.co/1eXUqpIwBk #InsideXbox #Gamescom19 #Gamescom #XboxOneX #XboxOne #Xbox #…"
51,9/14/2019 22:15,"RT @DeadarticGames: Ori and the Blind Forest - Announcement Trailer - Nintendo Switch
https://t.co/wzeHy952TB #OriAndTheBlindForest #Gamesc…"
52,9/14/2019 22:15,"RT @DeadarticGames: Quests, Sweepstakes, and NEW Games
https://t.co/3UyeEV7MWb #ThisWeekOnXbox #XboxOneX #XboxOne #Xbox #Microsoft #deadart…"
